sex,eda_sdem,anios_esc,ur_coei,n_hog,n_pro_viv,h_mud,empleo
2,37,9,1,1,3,0,1
1,77,6,1,1,48,0,1
2,40,9,2,1,115,0,0
2,67,12,1,1,59,0,1
1,18,12,2,1,185,0,0
1,56,9,1,1,60,0,0
2,1,0,1,1,24,0,1
2,58,9,1,1,38,0,1
2,12,6,1,1,87,0,0
1,81,12,1,1,52,0,0
2,3,0,2,2,88,0,1
1,46,12,1,1,46,0,0
1,11,0,1,1,27,0,1
1,41,6,2,1,6,0,0
1,30,9,2,1,137,0,0
2,27,16,1,1,74,0,1
2,13,7,1,1,163,0,0
2,47,17,1,1,122,0,1
2,46,18,1,1,126,0,0
2,2,0,1,1,11,0,1
2,82,3,2,1,47,0,0
2,21,16,1,1,106,0,0
2,20,12,2,1,38,0,1
2,16,7,1,1,161,0,0
1,23,9,2,1,84,0,1
1,58,16,1,1,79,0,0
2,23,17,1,1,78,0,0
2,4,0,1,1,13,0,1
 , ,0,1,1,109,0,0
2,31,9,2,1,85,0,1
1,48,9,1,1,58,0,1
2,60,9,1,1,64,1,1
2,13,6,1,2,53,0,0
1,51,16,1,1,45,0,1
1,44,8,1,1,49,0,0
2,4,0,1,1,6,0,0
2,16,9,1,1,113,0,0
1,19,13,2,1,92,0,0
1,48,9,1,1,25,0,1
1,21,15,1,1,143,2,0
2,7,0,2,1,77,0,0
2,30,12,1,1,37,0,0
2,24,16,1,1,62,0,1
2,9,0,1,1,13,0,1
2,19,12,2,1,128,0,1
2,64,6,2,1,76,0,1
2,2,0,2,1,22,0,1
2,50,6,1,1,103,0,1
1,64,3,2,1,122,0,1
2,22,15,1,1,92,0,0
 , ,0,2,1,100,0,1
1,17,10,1,1,77,0,1
2,65,6,1,1,64,0,1
1,27,17,1,1,109,0,1
2,53,9,2,1,129,0,1
2,76,9,1,1,137,0,0
2,34,6,2,1,6,0,1
1,66,12,1,1,29,0,1
1,18,6,2,1,62,0,1
2,58,6,2,1,83,0,0
1,51,12,1,1,180,2,0
1,30,9,2,1,2,0,0
2,45,9,1,1,66,0,1
2,3,0,1,1,51,0,1
